id,id_per_aquaria,Aquarium,Gosner Stage,Tadpole Mass,Species,Leaf Litter Treatment
93,13,7,35,829,S. fuscovarius,Sugarcane
94,14,7,34,742,S. fuscovarius,Sugarcane
95,15,7,35,888,S. fuscovarius,Sugarcane
96,16,7,36,970,S. fuscovarius,Sugarcane
97,17,7,31,497,S. fuscovarius,Sugarcane
98,18,7,34,672,S. fuscovarius,Sugarcane
99,19,7,32,600,S. fuscovarius,Sugarcane
100,20,7,34,753,S. fuscovarius,Sugarcane
101,1,8,26,34,P. cuvieri,Cerrado
102,2,8,28,43,P. cuvieri,Cerrado
103,3,8,27,41,P. cuvieri,Cerrado
104,4,8,27,35,P. cuvieri,Cerrado
105,5,8,29,49,P. cuvieri,Cerrado
106,6,8,28,49,P. cuvieri,Cerrado
107,7,8,28,36,P. cuvieri,Cerrado
108,8,8,28,30,P. cuvieri,Cerrado
109,9,8,27,34,P. cuvieri,Cerrado
110,10,8,29,40,P. cuvieri,Cerrado
111,11,8,26,29,P. cuvieri,Cerrado
112,12,8,28,35,P. cuvieri,Cerrado
113,13,8,27,46,P. cuvieri,Cerrado
114,14,8,26,18,P. cuvieri,Cerrado
115,15,8,26,32,P. cuvieri,Cerrado
116,16,8,30,69,P. cuvieri,Cerrado
117,17,8,27,28,P. cuvieri,Cerrado
118,18,8,28,42,P. cuvieri,Cerrado
119,19,8,29,39,P. cuvieri,Cerrado
120,20,8,29,42,P. cuvieri,Cerrado
121,1,9,28,405,S. fuscovarius,Cerrado
122,2,9,27,296,S. fuscovarius,Cerrado
123,3,9,27,267,S. fuscovarius,Cerrado
124,4,9,28,441,S. fuscovarius,Cerrado
125,5,9,31,414,S. fuscovarius,Cerrado
126,6,9,26,201,S. fuscovarius,Cerrado
127,7,9,30,280,S. fuscovarius,Cerrado
128,8,9,27,283,S. fuscovarius,Cerrado
129,9,9,28,376,S. fuscovarius,Cerrado
130,10,9,27,254,S. fuscovarius,Cerrado
131,11,9,26,227,S. fuscovarius,Cerrado
132,12,9,29,266,S. fuscovarius,Cerrado
133,13,9,27,244,S. fuscovarius,Cerrado
134,14,9,31,522,S. fuscovarius,Cerrado
135,15,9,30,373,S. fuscovarius,Cerrado
136,16,9,27,311,S. fuscovarius,Cerrado
137,17,9,26,181,S. fuscovarius,Cerrado
138,18,9,27,243,S. fuscovarius,Cerrado
139,19,9,28,296,S. fuscovarius,Cerrado
140,20,9,30,280,S. fuscovarius,Cerrado
141,1,10,32,353,S. fuscovarius,Pasture
142,2,10,30,237,S. fuscovarius,Pasture
143,3,10,30,286,S. fuscovarius,Pasture
144,4,10,28,222,S. fuscovarius,Pasture
145,5,10,32,365,S. fuscovarius,Pasture
146,6,10,31,281,S. fuscovarius,Pasture
147,7,10,29,224,S. fuscovarius,Pasture
148,8,10,29,279,S. fuscovarius,Pasture
149,9,10,28,186,S. fuscovarius,Pasture
150,10,10,28,302,S. fuscovarius,Pasture
151,11,10,31,282,S. fuscovarius,Pasture
152,12,10,27,166,S. fuscovarius,Pasture
153,13,10,31,279,S. fuscovarius,Pasture
154,14,10,28,193,S. fuscovarius,Pasture
155,15,10,31,299,S. fuscovarius,Pasture
156,16,10,31,316,S. fuscovarius,Pasture
157,17,10,27,175,S. fuscovarius,Pasture
158,18,10,29,242,S. fuscovarius,Pasture
159,19,10,28,206,S. fuscovarius,Pasture
160,20,10,27,186,S. fuscovarius,Pasture
161,1,13,40,734,P. nattereri,Sugarcane
162,2,13,39,556,P. centralis,Sugarcane
163,3,13,37,522,P. nattereri,Sugarcane
164,4,13,37,515,P. nattereri,Sugarcane
165,5,13,39,559,P. centralis,Sugarcane
166,6,13,39,586,P. centralis,Sugarcane
167,7,13,36,441,P. nattereri,Sugarcane
168,8,13,40,684,P. centralis,Sugarcane
169,9,13,38,460,P. centralis,Sugarcane
170,10,13,38,484,P. centralis,Sugarcane
171,11,13,37,560,P. nattereri,Sugarcane
172,12,13,37,604,P. nattereri,Sugarcane
173,13,13,36,534,P. nattereri,Sugarcane
174,14,13,29,126,P. nattereri,Sugarcane
175,15,13,34,327,P. nattereri,Sugarcane
176,16,13,40,576,P. centralis,Sugarcane
177,17,13,36,370,P. nattereri,Sugarcane
178,18,13,31,266,P. nattereri,Sugarcane
179,19,13,34,346,P. nattereri,Sugarcane
180,20,13,35,318,P. nattereri,Sugarcane
181,1,16,32,180,P. cuvieri,Sugarcane
182,2,16,32,163,P. cuvieri,Sugarcane
183,3,16,31,108,P. cuvieri,Sugarcane
184,4,16,35,199,P. cuvieri,Sugarcane
185,5,16,35,251,P. cuvieri,Sugarcane
186,6,16,36,254,P. cuvieri,Sugarcane
187,7,16,35,192,P. cuvieri,Sugarcane
188,8,16,34,131,P. cuvieri,Sugarcane
189,9,16,34,155,P. cuvieri,Sugarcane
190,10,16,33,162,P. cuvieri,Sugarcane
191,11,16,34,199,P. cuvieri,Sugarcane
192,12,16,33,194,P. cuvieri,Sugarcane
193,13,16,31,152,P. cuvieri,Sugarcane
194,14,16,31,142,P. cuvieri,Sugarcane
195,15,16,31,188,P. cuvieri,Sugarcane
196,16,16,34,178,P. cuvieri,Sugarcane
197,17,16,33,154,P. cuvieri,Sugarcane
198,18,16,31,193,P. cuvieri,Sugarcane
199,19,16,29,79,P. cuvieri,Sugarcane
200,20,16,,,P. cuvieri,Sugarcane
201,1,17,27,100,P. nattereri,Pasture
202,2,17,30,89,P. nattereri,Pasture
203,3,17,30,102,P. nattereri,Pasture
204,4,17,35,376,P. nattereri,Pasture
205,5,17,34,302,P. nattereri,Pasture
206,6,17,36,401,P. nattereri,Pasture
207,7,17,27,95,P. nattereri,Pasture
208,8,17,28,110,P. nattereri,Pasture
209,9,17,29,92,P. nattereri,Pasture
210,10,17,30,111,P. nattereri,Pasture
211,11,17,,,P. nattereri,Pasture
212,12,17,,,P. centralis,Pasture
213,13,17,,,P. centralis,Pasture
214,14,17,,,P. nattereri,Pasture
215,15,17,,,P. nattereri,Pasture
216,16,17,,,P. nattereri,Pasture
217,17,17,,,P. nattereri,Pasture
218,18,17,,,P. nattereri,Pasture
219,19,17,,,P. centralis,Pasture
220,20,17,,,P. centralis,Pasture
221,1,18,35,300,P. centralis,Sugarcane
222,2,18,38,518,P. centralis,Sugarcane
223,3,18,28,79,P. nattereri,Sugarcane
224,4,18,31,221,P. nattereri,Sugarcane
225,5,18,32,300,P. nattereri,Sugarcane
226,6,18,37,450,P. centralis,Sugarcane
227,7,18,31,239,P. nattereri,Sugarcane
228,8,18,31,265,P. nattereri,Sugarcane
229,9,18,31,212,P. nattereri,Sugarcane
230,10,18,30,189,P. nattereri,Sugarcane
231,11,18,31,223,P. nattereri,Sugarcane
232,12,18,31,197,P. nattereri,Sugarcane
233,13,18,32,279,P. nattereri,Sugarcane
234,14,18,29,149,P. nattereri,Sugarcane
235,15,18,27,38,P. nattereri,Sugarcane
236,16,18,27,81,P. nattereri,Sugarcane
237,17,18,27,66,P. nattereri,Sugarcane
238,18,18,,,P. nattereri,Sugarcane
239,19,18,,,P. nattereri,Sugarcane
240,20,18,,,P. nattereri,Sugarcane
241,1,19,35,755,S. fuscovarius,Pasture
242,2,19,36,791,S. fuscovarius,Pasture
243,3,19,35,698,S. fuscovarius,Pasture
244,4,19,34,833,S. fuscovarius,Pasture
245,5,19,31,478,S. fuscovarius,Pasture
246,6,19,35,738,S. fuscovarius,Pasture
247,7,19,35,776,S. fuscovarius,Pasture
248,8,19,32,592,S. fuscovarius,Pasture
249,9,19,34,721,S. fuscovarius,Pasture
250,10,19,34,773,S. fuscovarius,Pasture
251,11,19,31,566,S. fuscovarius,Pasture
252,12,19,34,736,S. fuscovarius,Pasture
253,13,19,35,645,S. fuscovarius,Pasture
254,14,19,32,539,S. fuscovarius,Pasture
255,15,19,35,817,S. fuscovarius,Pasture
256,16,19,34,665,S. fuscovarius,Pasture
257,17,19,33,663,S. fuscovarius,Pasture
258,18,19,29,296,S. fuscovarius,Pasture
259,19,19,,,S. fuscovarius,Pasture
260,20,19,,,S. fuscovarius,Pasture
261,1,20,36,876,S. fuscovarius,Pasture
262,2,20,35,709,S. fuscovarius,Pasture
263,3,20,35,692,S. fuscovarius,Pasture
264,4,20,36,834,S. fuscovarius,Pasture
265,5,20,36,858,S. fuscovarius,Pasture
266,6,20,35,524,S. fuscovarius,Pasture
267,7,20,36,801,S. fuscovarius,Pasture
268,8,20,36,820,S. fuscovarius,Pasture
269,9,20,36,630,S. fuscovarius,Pasture
270,10,20,36,723,S. fuscovarius,Pasture
271,11,20,35,603,S. fuscovarius,Pasture
272,12,20,35,566,S. fuscovarius,Pasture
273,13,20,36,835,S. fuscovarius,Pasture
274,14,20,36,766,S. fuscovarius,Pasture
275,15,20,36,846,S. fuscovarius,Pasture
276,16,20,35,629,S. fuscovarius,Pasture
277,17,20,33,529,S. fuscovarius,Pasture
278,18,20,35,598,S. fuscovarius,Pasture
279,19,20,34,435,S. fuscovarius,Pasture
280,20,20,36,608,S. fuscovarius,Pasture
281,1,21,35,910,S. fuscovarius,Sugarcane
282,2,21,35,793,S. fuscovarius,Sugarcane
283,3,21,35,1003,S. fuscovarius,Sugarcane
284,4,21,35,834,S. fuscovarius,Sugarcane
285,5,21,34,789,S. fuscovarius,Sugarcane
286,6,21,36,1108,S. fuscovarius,Sugarcane
287,7,21,36,1108,S. fuscovarius,Sugarcane
288,8,21,35,878,S. fuscovarius,Sugarcane
289,9,21,31,547,S. fuscovarius,Sugarcane
290,10,21,31,554,S. fuscovarius,Sugarcane
291,11,21,35,800,S. fuscovarius,Sugarcane
292,12,21,31,463,S. fuscovarius,Sugarcane
293,13,21,34,964,S. fuscovarius,Sugarcane
294,14,21,34,725,S. fuscovarius,Sugarcane
295,15,21,27,269,S. fuscovarius,Sugarcane
296,16,21,34,621,S. fuscovarius,Sugarcane
297,17,21,34,748,S. fuscovarius,Sugarcane
298,18,21,34,749,S. fuscovarius,Sugarcane
299,19,21,34,818,S. fuscovarius,Sugarcane
300,20,21,,,S. fuscovarius,Sugarcane
301,1,22,28,44,P. cuvieri,Cerrado
302,2,22,28,47,P. cuvieri,Cerrado
303,3,22,28,34,P. cuvieri,Cerrado
304,4,22,29,42,P. cuvieri,Cerrado
305,5,22,30,71,P. cuvieri,Cerrado
306,6,22,28,49,P. cuvieri,Cerrado
307,7,22,30,52,P. cuvieri,Cerrado
308,8,22,28,54,P. cuvieri,Cerrado
309,9,22,28,45,P. cuvieri,Cerrado
310,10,22,28,28,P. cuvieri,Cerrado
311,11,22,28,37,P. cuvieri,Cerrado
312,12,22,27,34,P. cuvieri,Cerrado
313,13,22,27,25,P. cuvieri,Cerrado
314,14,22,29,43,P. cuvieri,Cerrado
315,15,22,27,32,P. cuvieri,Cerrado
316,16,22,28,32,P. cuvieri,Cerrado
317,17,22,28,33,P. cuvieri,Cerrado
318,18,22,27,29,P. cuvieri,Cerrado
319,19,22,,,P. cuvieri,Cerrado
320,20,22,,,P. cuvieri,Cerrado
321,1,23,35,186,P. cuvieri,Pasture
322,2,23,,,P. cuvieri,Pasture
323,3,23,,,P. cuvieri,Pasture
324,4,23,,,P. cuvieri,Pasture
325,5,23,,,P. cuvieri,Pasture
326,6,23,,,P. cuvieri,Pasture
327,7,23,,,P. cuvieri,Pasture
328,8,23,,,P. cuvieri,Pasture
329,9,23,,,P. cuvieri,Pasture
330,10,23,,,P. cuvieri,Pasture
331,11,23,,,P. cuvieri,Pasture
332,12,23,,,P. cuvieri,Pasture
333,13,23,,,P. cuvieri,Pasture
334,14,23,,,P. cuvieri,Pasture
335,15,23,,,P. cuvieri,Pasture
336,16,23,,,P. cuvieri,Pasture
337,17,23,,,P. cuvieri,Pasture
338,18,23,,,P. cuvieri,Pasture
339,19,23,,,P. cuvieri,Pasture
340,20,23,,,P. cuvieri,Pasture
341,1,24,33,268,P. nattereri,Cerrado
342,2,24,30,183,P. nattereri,Cerrado
343,3,24,30,183,P. nattereri,Cerrado
344,4,24,27,91,P. nattereri,Cerrado
345,5,24,31,181,P. nattereri,Cerrado
346,6,24,28,129,P. nattereri,Cerrado
347,7,24,27,119,P. nattereri,Cerrado
348,8,24,26,51,P. nattereri,Cerrado
349,9,24,26,69,P. nattereri,Cerrado
350,10,24,35,206,P. centralis,Cerrado
351,11,24,27,118,P. nattereri,Cerrado
352,12,24,28,124,P. nattereri,Cerrado
353,13,24,27,128,P. nattereri,Cerrado
354,14,24,27,115,P. nattereri,Cerrado
355,15,24,28,131,P. nattereri,Cerrado
356,16,24,27,104,P. nattereri,Cerrado
357,17,24,28,96,P. nattereri,Cerrado
358,18,24,27,92,P. nattereri,Cerrado
359,19,24,27,106,P. nattereri,Cerrado
360,20,24,28,107,P. nattereri,Cerrado
361,1,25,40,444,P. cuvieri,Pasture
362,2,25,40,458,P. cuvieri,Pasture
363,3,25,39,350,P. cuvieri,Pasture
364,4,25,40,418,P. cuvieri,Pasture
365,5,25,40,465,P. cuvieri,Pasture
366,6,25,40,407,P. cuvieri,Pasture
367,7,25,39,398,P. cuvieri,Pasture
368,8,25,40,522,P. cuvieri,Pasture
369,9,25,40,475,P. cuvieri,Pasture
370,10,25,40,443,P. cuvieri,Pasture
371,11,25,40,401,P. cuvieri,Pasture
372,12,25,40,374,P. cuvieri,Pasture
373,13,25,40,330,P. cuvieri,Pasture
374,14,25,39,375,P. cuvieri,Pasture
375,15,25,40,437,P. cuvieri,Pasture
376,16,25,40,405,P. cuvieri,Pasture
377,17,25,40,470,P. cuvieri,Pasture
378,18,25,40,441,P. cuvieri,Pasture
379,19,25,40,465,P. cuvieri,Pasture
380,20,25,40,457,P. cuvieri,Pasture
381,1,26,27,35,P. cuvieri,Cerrado
382,2,26,27,31,P. cuvieri,Cerrado
383,3,26,27,38,P. cuvieri,Cerrado
384,4,26,27,27,P. cuvieri,Cerrado
385,5,26,27,29,P. cuvieri,Cerrado
386,6,26,28,41,P. cuvieri,Cerrado
387,7,26,27,28,P. cuvieri,Cerrado
388,8,26,26,27,P. cuvieri,Cerrado
389,9,26,26,26,P. cuvieri,Cerrado
390,10,26,28,37,P. cuvieri,Cerrado
391,11,26,26,32,P. cuvieri,Cerrado
392,12,26,27,33,P. cuvieri,Cerrado
393,13,26,26,34,P. cuvieri,Cerrado
394,14,26,27,42,P. cuvieri,Cerrado
395,15,26,28,45,P. cuvieri,Cerrado
396,16,26,27,40,P. cuvieri,Cerrado
397,17,26,28,31,P. cuvieri,Cerrado
398,18,26,27,19,P. cuvieri,Cerrado
399,19,26,27,34,P. cuvieri,Cerrado
400,20,26,,,P. cuvieri,Cerrado
401,1,29,37,227,P. cuvieri,Pasture
402,2,29,37,221,P. cuvieri,Pasture
403,3,29,36,201,P. cuvieri,Pasture
404,4,29,36,190,P. cuvieri,Pasture
405,5,29,38,305,P. cuvieri,Pasture
406,6,29,38,216,P. cuvieri,Pasture
407,7,29,37,247,P. cuvieri,Pasture
408,8,29,36,148,P. cuvieri,Pasture
409,9,29,35,168,P. cuvieri,Pasture
410,10,29,35,143,P. cuvieri,Pasture
411,11,29,36,166,P. cuvieri,Pasture
412,12,29,37,197,P. cuvieri,Pasture
413,13,29,36,143,P. cuvieri,Pasture
414,14,29,36,143,P. cuvieri,Pasture
415,15,29,37,206,P. cuvieri,Pasture
416,16,29,38,274,P. cuvieri,Pasture
417,17,29,36,154,P. cuvieri,Pasture
418,18,29,32,132,P. cuvieri,Pasture
419,19,29,33,112,P. cuvieri,Pasture
420,20,29,31,100,P. cuvieri,Pasture
421,1,31,28,114,P. nattereri,Cerrado
422,2,31,28,115,P. nattereri,Cerrado
423,3,31,31,147,P. centralis,Cerrado
424,4,31,28,109,P. nattereri,Cerrado
425,5,31,27,81,P. nattereri,Cerrado
426,6,31,27,69,P. nattereri,Cerrado
427,7,31,27,92,P. nattereri,Cerrado
428,8,31,30,93,P. centralis,Cerrado
429,9,31,31,103,P. centralis,Cerrado
430,10,31,28,124,P. nattereri,Cerrado
431,11,31,30,120,P. centralis,Cerrado
432,12,31,31,112,P. centralis,Cerrado
433,13,31,27,61,P. nattereri,Cerrado
434,14,31,27,80,P. nattereri,Cerrado
435,15,31,26,53,P. nattereri,Cerrado
436,16,31,26,51,P. nattereri,Cerrado
437,17,31,26,50,P. nattereri,Cerrado
438,18,31,27,76,P. nattereri,Cerrado
439,19,31,26,61,P. nattereri,Cerrado
440,20,31,,,P. nattereri,Cerrado
441,1,32,35,485,P. nattereri,Pasture
442,2,32,37,713,P. nattereri,Pasture
443,3,32,32,320,P. nattereri,Pasture
444,4,32,33,337,P. nattereri,Pasture
445,5,32,31,183,P. nattereri,Pasture
446,6,32,30,184,P. nattereri,Pasture
447,7,32,31,211,P. nattereri,Pasture
448,8,32,33,365,P. nattereri,Pasture
449,9,32,32,357,P. nattereri,Pasture
450,10,32,33,251,P. nattereri,Pasture
451,11,32,30,173,P. nattereri,Pasture
452,12,32,30,177,P. nattereri,Pasture
453,13,32,27,63,P. nattereri,Pasture
454,14,32,28,75,P. nattereri,Pasture
455,15,32,,,P. nattereri,Pasture
456,16,32,,,P. nattereri,Pasture
457,17,32,,,P. nattereri,Pasture
458,18,32,,,P. nattereri,Pasture
459,19,32,,,P. nattereri,Pasture
460,20,32,,,P. nattereri,Pasture
461,1,33,33,203,P. cuvieri,Sugarcane
462,2,33,34,217,P. cuvieri,Sugarcane
463,3,33,35,218,P. cuvieri,Sugarcane
464,4,33,35,227,P. cuvieri,Sugarcane
465,5,33,33,164,P. cuvieri,Sugarcane
466,6,33,36,248,P. cuvieri,Sugarcane
467,7,33,33,147,P. cuvieri,Sugarcane
468,8,33,33,201,P. cuvieri,Sugarcane
469,9,33,33,175,P. cuvieri,Sugarcane
470,10,33,32,143,P. cuvieri,Sugarcane
471,11,33,34,269,P. cuvieri,Sugarcane
472,12,33,31,172,P. cuvieri,Sugarcane
473,13,33,33,211,P. cuvieri,Sugarcane
474,14,33,34,229,P. cuvieri,Sugarcane
475,15,33,31,175,P. cuvieri,Sugarcane
476,16,33,32,197,P. cuvieri,Sugarcane
477,17,33,32,151,P. cuvieri,Sugarcane
478,18,33,33,161,P. cuvieri,Sugarcane
479,19,33,30,62,P. cuvieri,Sugarcane
480,20,33,,,P. cuvieri,Sugarcane
481,1,34,36,705,P. nattereri,Pasture
482,2,34,37,757,P. nattereri,Pasture
483,3,34,37,856,P. nattereri,Pasture
484,4,34,36,747,P. centralis,Pasture
485,5,34,36,494,P. centralis,Pasture
486,6,34,35,470,P. nattereri,Pasture
487,7,34,35,335,P. centralis,Pasture
488,8,34,37,676,P. centralis,Pasture
489,9,34,35,457,P. centralis,Pasture
490,10,34,35,369,P. centralis,Pasture
491,11,34,32,206,P. centralis,Pasture
492,12,34,32,234,P. centralis,Pasture
493,13,34,29,136,P. nattereri,Pasture
494,14,34,27,63,P. nattereri,Pasture
495,15,34,25,30,P. nattereri,Pasture
496,16,34,,,P. nattereri,Pasture
497,17,34,,,P. nattereri,Pasture
498,18,34,,,P. nattereri,Pasture
499,19,34,,,P. nattereri,Pasture
500,20,34,,,P. nattereri,Pasture
501,1,35,28,34,P. cuvieri,Sugarcane
502,2,35,29,37,P. cuvieri,Sugarcane
503,3,35,31,88,P. cuvieri,Sugarcane
504,4,35,,,P. cuvieri,Sugarcane
505,5,35,,,P. cuvieri,Sugarcane
506,6,35,,,P. cuvieri,Sugarcane
507,7,35,,,P. cuvieri,Sugarcane
508,8,35,,,P. cuvieri,Sugarcane
509,9,35,,,P. cuvieri,Sugarcane
510,10,35,,,P. cuvieri,Sugarcane
511,11,35,,,P. cuvieri,Sugarcane
512,12,35,,,P. cuvieri,Sugarcane
513,13,35,,,P. cuvieri,Sugarcane
514,14,35,,,P. cuvieri,Sugarcane
515,15,35,,,P. cuvieri,Sugarcane
516,16,35,,,P. cuvieri,Sugarcane
517,17,35,,,P. cuvieri,Sugarcane
518,18,35,,,P. cuvieri,Sugarcane
519,19,35,,,P. cuvieri,Sugarcane
520,20,35,,,P. cuvieri,Sugarcane
521,1,36,31,104,P. cuvieri,Sugarcane
522,2,36,27,39,P. cuvieri,Sugarcane
523,3,36,29,68,P. cuvieri,Sugarcane
524,4,36,30,81,P. cuvieri,Sugarcane
525,5,36,30,72,P. cuvieri,Sugarcane
526,6,36,28,42,P. cuvieri,Sugarcane
527,7,36,29,48,P. cuvieri,Sugarcane
528,8,36,30,98,P. cuvieri,Sugarcane
529,9,36,28,45,P. cuvieri,Sugarcane
530,10,36,28,43,P. cuvieri,Sugarcane
531,11,36,,,P. cuvieri,Sugarcane
532,12,36,,,P. cuvieri,Sugarcane
533,13,36,,,P. cuvieri,Sugarcane
534,14,36,,,P. cuvieri,Sugarcane
535,15,36,,,P. cuvieri,Sugarcane
536,16,36,,,P. cuvieri,Sugarcane
537,17,36,,,P. cuvieri,Sugarcane
538,18,36,,,P. cuvieri,Sugarcane
539,19,36,,,P. cuvieri,Sugarcane
540,20,36,,,P. cuvieri,Sugarcane
541,1,39,39,734,P. centralis,Sugarcane
542,2,39,39,884,P. centralis,Sugarcane
543,3,39,36,867,P. nattereri,Sugarcane
544,4,39,37,572,P. centralis,Sugarcane
545,5,39,35,479,P. centralis,Sugarcane
546,6,39,34,486,P. nattereri,Sugarcane
547,7,39,37,679,P. centralis,Sugarcane
548,8,39,33,289,P. nattereri,Sugarcane
549,9,39,37,515,P. centralis,Sugarcane
550,10,39,31,197,P. nattereri,Sugarcane
551,11,39,30,143,P. nattereri,Sugarcane
552,12,39,35,318,P. centralis,Sugarcane
553,13,39,34,289,P. nattereri,Sugarcane
554,14,39,25,7,P. nattereri,Sugarcane
555,15,39,25,14,P. nattereri,Sugarcane
556,16,39,,,P. nattereri,Sugarcane
557,17,39,,,P. nattereri,Sugarcane
558,18,39,,,P. nattereri,Sugarcane
559,19,39,,,P. nattereri,Sugarcane
560,20,39,,,P. nattereri,Sugarcane
561,1,40,36,280,P. centralis,Cerrado
562,2,40,29,140,P. nattereri,Cerrado
563,3,40,33,258,P. nattereri,Cerrado
564,4,40,35,309,P. centralis,Cerrado
565,5,40,31,166,P. nattereri,Cerrado
566,6,40,32,160,P. nattereri,Cerrado
567,7,40,36,329,P. centralis,Cerrado
568,8,40,28,134,P. nattereri,Cerrado
569,9,40,31,172,P. nattereri,Cerrado
570,10,40,28,120,P. nattereri,Cerrado
571,11,40,27,67,P. nattereri,Cerrado
572,12,40,36,260,P. centralis,Cerrado
573,13,40,27,99,P. nattereri,Cerrado
574,14,40,28,104,P. nattereri,Cerrado
575,15,40,27,73,P. nattereri,Cerrado
576,16,40,27,61,P. nattereri,Cerrado
577,17,40,28,77,P. nattereri,Cerrado
578,18,40,26,47,P. nattereri,Cerrado
579,19,40,26,39,P. nattereri,Cerrado
580,20,40,,,P. nattereri,Cerrado
581,1,42,28,206,S. fuscovarius,Sugarcane
582,2,42,25,83,S. fuscovarius,Sugarcane
583,3,42,25,67,S. fuscovarius,Sugarcane
584,4,42,29,245,S. fuscovarius,Sugarcane
585,5,42,26,103,S. fuscovarius,Sugarcane
586,6,42,25,90,S. fuscovarius,Sugarcane
587,7,42,26,117,S. fuscovarius,Sugarcane
588,8,42,28,220,S. fuscovarius,Sugarcane
589,9,42,27,203,S. fuscovarius,Sugarcane
590,10,42,26,91,S. fuscovarius,Sugarcane
591,11,42,27,133,S. fuscovarius,Sugarcane
